workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1644,It does not have arms.,3BF51CHDTX3L0ZWQ3UIDWRNOAQOH01,33,ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,chair,ShapeNet,part_3_removed_ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,chair/ShapeNet/ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,FALSE,chair,chair,0,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_428,There are no armrests.,33UKMF931BDCLHKC1QNCULSHISTTT6,157,ff793ca32407b2022a54a8462d1ffe9d,chair,ShapeNet,part_3_removed_ff793ca32407b2022a54a8462d1ffe9d,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_ff793ca32407b2022a54a8462d1ffe9d,chair/ShapeNet/ff793ca32407b2022a54a8462d1ffe9d,FALSE,chair,chair,4,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1347,There are no arms,33OOO72IVJEVZ0I1F4SM5BSDU8ECTV,60,fd2c754ca43457107d910d51d878f708,chair,ShapeNet,part_3_removed_fd2c754ca43457107d910d51d878f708,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fd2c754ca43457107d910d51d878f708,chair/ShapeNet/fd2c754ca43457107d910d51d878f708,TRUE,chair,chair,3,"['there', 'are', 'no', 'arms']",4,there are no arms,train,test,train,test,"[1, 15, 16, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_591,There are no armrests,37FMASSAYEKMGHAK7SXNGKKM17YIBF,288,fcfb3a50acf5e83ecc0484ea4f50062,chair,ShapeNet,part_3_removed_fcfb3a50acf5e83ecc0484ea4f50062,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fcfb3a50acf5e83ecc0484ea4f50062,chair/ShapeNet/fcfb3a50acf5e83ecc0484ea4f50062,TRUE,chair,chair,2,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_655,The chair does not have arms,37W3JXSD6810UKN061FMPMRV1PWWYT,164,fcd8163b26250f499fe49e672436bc45,chair,ShapeNet,part_3_removed_fcd8163b26250f499fe49e672436bc45,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fcd8163b26250f499fe49e672436bc45,chair/ShapeNet/fcd8163b26250f499fe49e672436bc45,TRUE,chair,chair,1,"['the', 'chair', 'does', 'not', 'have', 'arms']",6,the chair does not have arms,train,test,train,test,"[1, 10, 2251, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have arms.,3C44YUNSI3I7C0V8YJEDK79YQ5VDPH,108,fc2a1c4c332f7731e45ef4135c266a12,chair,ShapeNet,part_3_removed_fc2a1c4c332f7731e45ef4135c266a12,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fc2a1c4c332f7731e45ef4135c266a12,chair/ShapeNet/fc2a1c4c332f7731e45ef4135c266a12,FALSE,chair,chair,4,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_571,It does not have arms,34QN5IT0T1KS7OVX0QO7JEUP7ZP08G,81,fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair/ShapeNet/fad907934656c52ba1abaa6eee3840a6,TRUE,chair,chair,4,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_688,there are no arm rests,3FTYUGLFSWE3JQDPE45ZM14HZ9KD5T,47,fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair/ShapeNet/fad907934656c52ba1abaa6eee3840a6,TRUE,chair,chair,2,"['there', 'are', 'no', 'arm', 'rests']",5,there are no arm rests,train,test,train,test,"[1, 15, 16, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_952,It does NOT have a shade shaped like a cone.,3B3WTRP3DDVZH3HLK5YZ2YIE8BI92N,60,ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,part_1_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,FALSE,segmented_lamp/part_1_removed/part_1_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp/ShapeNet/ec782fd2f4825158f24dd57a3f1f3b51,FALSE,lamp,lamp,1,"['it', 'does', 'not', 'have', 'a', 'shade', 'shaped', 'like', 'a', 'cone']",10,it does not have a shade shaped like a cone,train,test,train,test,"[1, 23, 39, 40, 84, 26, 1873, 14, 35, 26, 143, 2, 0, 0, 0, 0, 0, 0]"
user_2039,The target does not have a base.,3L4PIM1GQV9VMO6E775G2NJDT9TRYD,136,ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,part_0_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,FALSE,segmented_lamp/part_0_removed/part_0_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp/ShapeNet/ec782fd2f4825158f24dd57a3f1f3b51,TRUE,lamp,lamp,2,"['the', 'target', 'does', 'not', 'have', 'a', 'base']",7,the target does not have a base,train,test,train,test,"[1, 10, 11, 39, 40, 84, 26, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
